job_id,title,company,location,salary_min,salary_max,salary_raw,experience_years,skills_raw,education,posted_date,source
BDJ-1000,BI Analyst,Grameenphone,Dhaka,35000,55000,Tk. 35000-55000,2,"Excel, SQL, Dashboard, ETL",BBA/MBA,2026-09-07,bdjobs
BDJ-1001,Growth Data Analyst,ACI,Dhaka,,,Negotiable,4,"SQL, Power BI, Excel",BBA/MBA,2026-09-02,careerjet
BDJ-1002,Data Analyst - Power BI,Chaldal,Dhaka,40000,60000,Tk. 40000-60000,2,"Power BI, Microsoft Fabric, SQL, Dashboard",BSc in CSE/Stats,2026-08-25,linkedin
BDJ-1003,Data Analyst - Power BI,PalmPay,Dhaka,,,Negotiable,1,"Excel, SQL, Dashboard, ETL",BBA/MBA,2026-09-04,bdjobs
BDJ-1004,Sales Data Analyst,ACI,Chittagong,,,Negotiable,4,"SQL, Excel, Power BI, Looker",MSc,2026-09-05,linkedin
BDJ-1005,Sales Data Analyst,Rokomari,Dhaka,,,Negotiable,3,"SQL, Power BI, Excel",BBA/MBA,2026-08-27,bdjobs
BDJ-1006,Growth Data Analyst,bKash,Dhaka,35000,55000,Tk. 35000-55000,0,"SQL, Power BI, Excel",BBA/MBA,2026-08-06,careerjet
BDJ-1007,MIS Executive,bKash,Dhaka,25000,40000,Tk. 25000-40000,2,"Python, SQL, Statistics, Power BI",BSc in CSE/Stats,2026-08-12,careerjet
BDJ-1008,Growth Data Analyst,bKash,Dhaka,35000,55000,Tk. 35000-55000,4,"SQL, Excel, Power BI, Looker",BSc in CSE/Stats,2026-08-09,bdjobs
BDJ-1009,Business Intelligence Analyst,Daraz,Chittagong,,,Negotiable,4,"Power BI, Microsoft Fabric, SQL, Dashboard",BSc in CSE/Stats,2026-08-21,careerjet
BDJ-1010,Growth Data Analyst,Rokomari,Dhaka,50000,65000,Tk. 50000-65000,4,"Python, SQL, Statistics, Power BI",BBA/MBA,2026-08-24,careerjet
BDJ-1011,Data Analyst,Banglalink,Sylhet,25000,35000,Tk. 25000-35000,0,"SQL, Power BI, Excel",BBA/MBA,2026-08-11,linkedin
BDJ-1012,Data Analyst,Daraz,Dhaka,,,Negotiable,4,"Power BI, Microsoft Fabric, SQL, Dashboard",BBA/MBA,2026-08-15,bdjobs
