job_id,title,company,location,salary_min,salary_max,salary_raw,experience_years,skills_raw,education,posted_date,source,salary_avg,has_sql,has_power_bi,has_excel,has_python,has_tableau,has_fabric,has_etl,has_dashboard,has_statistics,exp_bucket,salary_bucket
BDJ-1000,BI Analyst,Grameenphone,Dhaka,35000.0,55000.0,Tk. 35000-55000,2,"Excel, SQL, Dashboard, ETL",BBA/MBA,2026-09-07,bdjobs,45000.0,1,0,1,0,0,0,1,1,0,Mid (2-3),35-50k
BDJ-1001,Growth Data Analyst,ACI,Dhaka,,,Negotiable,4,"SQL, Power BI, Excel",BBA/MBA,2026-09-02,careerjet,,1,1,1,0,0,0,0,0,0,Senior (4+),Negotiable
BDJ-1002,Data Analyst - Power BI,Chaldal,Dhaka,40000.0,60000.0,Tk. 40000-60000,2,"Power BI, Microsoft Fabric, SQL, Dashboard",BSc in CSE/Stats,2026-08-25,linkedin,50000.0,1,1,0,0,0,1,0,1,0,Mid (2-3),50-70k
BDJ-1003,Data Analyst - Power BI,PalmPay,Dhaka,,,Negotiable,1,"Excel, SQL, Dashboard, ETL",BBA/MBA,2026-09-04,bdjobs,,1,0,1,0,0,0,1,1,0,Fresher (0-1),Negotiable
BDJ-1004,Sales Data Analyst,ACI,Chittagong,,,Negotiable,4,"SQL, Excel, Power BI, Looker",MSc,2026-09-05,linkedin,,1,1,1,0,0,0,0,0,0,Senior (4+),Negotiable
BDJ-1005,Sales Data Analyst,Rokomari,Dhaka,,,Negotiable,3,"SQL, Power BI, Excel",BBA/MBA,2026-08-27,bdjobs,,1,1,1,0,0,0,0,0,0,Mid (2-3),Negotiable
BDJ-1006,Growth Data Analyst,bKash,Dhaka,35000.0,55000.0,Tk. 35000-55000,0,"SQL, Power BI, Excel",BBA/MBA,2026-08-06,careerjet,45000.0,1,1,1,0,0,0,0,0,0,Fresher (0-1),35-50k
BDJ-1007,MIS Executive,bKash,Dhaka,25000.0,40000.0,Tk. 25000-40000,2,"Python, SQL, Statistics, Power BI",BSc in CSE/Stats,2026-08-12,careerjet,32500.0,1,1,0,1,0,0,0,0,1,Mid (2-3),25-35k
BDJ-1008,Growth Data Analyst,bKash,Dhaka,35000.0,55000.0,Tk. 35000-55000,4,"SQL, Excel, Power BI, Looker",BSc in CSE/Stats,2026-08-09,bdjobs,45000.0,1,1,1,0,0,0,0,0,0,Senior (4+),35-50k
BDJ-1009,Business Intelligence Analyst,Daraz,Chittagong,,,Negotiable,4,"Power BI, Microsoft Fabric, SQL, Dashboard",BSc in CSE/Stats,2026-08-21,careerjet,,1,1,0,0,0,1,0,1,0,Senior (4+),Negotiable
BDJ-1010,Growth Data Analyst,Rokomari,Dhaka,50000.0,65000.0,Tk. 50000-65000,4,"Python, SQL, Statistics, Power BI",BBA/MBA,2026-08-24,careerjet,57500.0,1,1,0,1,0,0,0,0,1,Senior (4+),50-70k
BDJ-1011,Data Analyst,Banglalink,Sylhet,25000.0,35000.0,Tk. 25000-35000,0,"SQL, Power BI, Excel",BBA/MBA,2026-08-11,linkedin,30000.0,1,1,1,0,0,0,0,0,0,Fresher (0-1),25-35k
BDJ-1012,Data Analyst,Daraz,Dhaka,,,Negotiable,4,"Power BI, Microsoft Fabric, SQL, Dashboard",BBA/MBA,2026-08-15,bdjobs,,1,1,0,0,0,1,0,1,0,Senior (4+),Negotiable
BDJ-1013,Data Analyst,Banglalink,Dhaka,18000.0,33000.0,Tk. 18000-33000,2,"Excel, SQL, Dashboard, ETL",BSc in CSE/Stats,2026-08-04,linkedin,25500.0,1,0,1,0,0,0,1,1,0,Mid (2-3),25-35k
BDJ-1014,Data Analyst,Banglalink,Remote,20000.0,30000.0,Tk. 20000-30000,2,"Power BI, Microsoft Fabric, SQL, Dashboard",MSc,2026-08-09,careerjet,25000.0,1,1,0,0,0,1,0,1,0,Mid (2-3),25-35k
